Lambda,Index,Accuracy,Cost,Loss,EtaMin,EtaMax,Cycles,n_s,Batchsize
0.0001,191,0.4946,1.454492555,1.454492155,1.00E-05,0.1,1,900,100
,,,,,,,,,
0.000316228,198,0.496,1.436850171,1.436848906,1.00E-05,0.1,1,900,100
,,,,,,,,,
0.001,199,0.4966,1.440382787,1.440378787,1.00E-05,0.1,1,900,100
,,,,,,,,,
0.003162278,198,0.4892,1.451890068,1.451877419,1.00E-05,0.1,1,900,100
,,,,,,,,,
0.01,196,0.4968,1.436902952,1.436862952,1.00E-05,0.1,1,900,100
,,,,,,,,,
0.0001,199,0.4908,1.447713735,1.447713335,1.00E-05,0.1,1,900,100
,,,,,,,,,
0.002575,184,0.4844,1.461633606,1.461623306,1.00E-05,0.1,1,900,100
,,,,,,,,,
0.00505,192,0.4944,1.441042864,1.441022664,1.00E-05,0.1,1,900,100
,,,,,,,,,
0.007525,196,0.4914,1.441577863,1.441547763,1.00E-05,0.1,1,900,100
,,,,,,,,,
0.01,198,0.4926,1.439956031,1.439916031,1.00E-05,0.1,1,900,100
